aa_int1,aa_int2,aa_quiz1,aa_quiz2,aa_quiz3,aa_quiz4,aa_regret,aa_joy,ai_int1,ai_int2,ai_quiz1,ai_quiz2,ai_quiz3,ai_quiz4,ai_regret,ai_joy,ia_int1,ia_int2,ia_quiz1,ia_quiz2,ia_quiz3,ia_quiz4,ia_regret,ia_joy,ii_int1,ii_int2,ii_quiz1,ii_quiz2,ii_quiz3,ii_quiz4,ii_regret,ii_joy,age,gender
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,6, , , , , , , , ,39,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,3,5,31,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,4, , , , , , , , ,32,1
1,1,1,1,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,44,1
 , , , , , , , ,1,1,1,2,1,2,5,6, , , , , , , , , , , , , , , , ,30,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,5, , , , , , , , ,24,1
 , , , , , , , ,1,1,1,2,1,2,3,6, , , , , , , , , , , , , , , , ,60,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,5,5, , , , , , , , ,29,1
 , , , , , , , ,1,1,1,2,1,2,2,5, , , , , , , , , , , , , , , , ,42,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,2,49,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,6,28,2
 , , , , , , , ,1,1,1,2,1,2,5,5, , , , , , , , , , , , , , , , ,52,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,2,5,23,2
 , , , , , , , ,1,1,1,2,1,2,5,5, , , , , , , , , , , , , , , , ,27,1
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,31,2
1,1,1,1,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,30,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,2,34,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,3,1,30,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,3,4,58,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,5,6, , , , , , , , ,32,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,2, , , , , , , , ,27,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,6,6, , , , , , , , ,44,2
1,1,1,1,1,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , ,31,1
1,1,1,1,1,2,5,3, , , , , , , , , , , , , , , , , , , , , , , , ,32,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,5,6, , , , , , , , ,33,1
 , , , , , , , ,1,1,1,2,1,2,3,4, , , , , , , , , , , , , , , , ,31,2
1,1,1,1,1,2,6,1, , , , , , , , , , , , , , , , , , , , , , , , ,31,1
 , , , , , , , ,1,1,1,2,1,2,4,3, , , , , , , , , , , , , , , , ,24,1
1,1,1,1,1,2,1,3, , , , , , , , , , , , , , , , , , , , , , , , ,55,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,2, , , , , , , , ,31,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,2,5,59,2
 , , , , , , , ,1,1,1,2,1,2,5,5, , , , , , , , , , , , , , , , ,33,2
1,1,1,1,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,66,2
 , , , , , , , ,1,1,1,2,1,2,5,5, , , , , , , , , , , , , , , , ,30,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,6,35,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,2,32,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,1,6, , , , , , , , ,42,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,3,4,24,2
 , , , , , , , ,1,1,1,2,1,2,3,4, , , , , , , , , , , , , , , , ,29,1
 , , , , , , , ,1,1,1,2,1,2,3,4, , , , , , , , , , , , , , , , ,62,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,5,2, , , , , , , , ,43,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,5, , , , , , , , ,41,2
 , , , , , , , ,1,1,1,2,1,2,1,6, , , , , , , , , , , , , , , , ,26,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,6,55,2
1,1,1,1,1,2,1,4, , , , , , , , , , , , , , , , , , , , , , , , ,24,2
1,1,1,1,1,2,2,6, , , , , , , , , , , , , , , , , , , , , , , , ,23,2
 , , , , , , , ,1,1,1,2,1,2,5,4, , , , , , , , , , , , , , , , ,46,1
1,1,1,1,1,2,1,4, , , , , , , , , , , , , , , , , , , , , , , , ,60,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,5, , , , , , , , ,62,1
1,1,1,1,1,2,5,4, , , , , , , , , , , , , , , , , , , , , , , , ,31,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,5, , , , , , , , ,36,1
 , , , , , , , ,1,1,1,2,1,2,5,2, , , , , , , , , , , , , , , , ,59,2
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,36,1
1,1,1,1,1,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , ,52,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,4,44,1
1,1,1,1,1,2,1,4, , , , , , , , , , , , , , , , , , , , , , , , ,30,1
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,56,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,4, , , , , , , , ,27,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,6,43,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,3, , , , , , , , ,40,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,3, , , , , , , , ,38,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,33,2
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,25,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,2,6,30,2
 , , , , , , , ,1,1,1,2,1,2,3,4, , , , , , , , , , , , , , , , ,54,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,6, , , , , , , , ,34,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,3, , , , , , , , ,33,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,1,1,23,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,2,5,40,2
1,1,1,1,1,2,3,5, , , , , , , , , , , , , , , , , , , , , , , , ,25,1
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,32,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,6,44,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,4, , , , , , , , ,26,2
 , , , , , , , ,1,1,1,2,1,2,4,4, , , , , , , , , , , , , , , , ,51,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,43,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,6,23,2
1,1,1,1,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,30,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,6,67,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,2, , , , , , , , ,29,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,5, , , , , , , , ,34,2
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,35,2
1,1,1,1,1,2,4,3, , , , , , , , , , , , , , , , , , , , , , , , ,27,2
 , , , , , , , ,1,1,1,2,1,2,5,4, , , , , , , , , , , , , , , , ,45,1
 , , , , , , , ,1,1,1,2,1,2,1,6, , , , , , , , , , , , , , , , ,25,2
 , , , , , , , ,1,1,1,2,1,2,4,1, , , , , , , , , , , , , , , , ,60,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,4, , , , , , , , ,34,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,6,46,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,5, , , , , , , , ,31,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,5,22,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,38,2
 , , , , , , , ,1,1,1,2,1,2,2,6, , , , , , , , , , , , , , , , ,32,2
 , , , , , , , ,1,1,1,2,1,2,5,1, , , , , , , , , , , , , , , , ,33,2
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,43,2
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,36,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,4, , , , , , , , ,47,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,5, , , , , , , , ,42,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,6, , , , , , , , ,65,2
1,1,1,1,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,26,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,5,22,2
 , , , , , , , ,1,1,1,2,1,2,5,4, , , , , , , , , , , , , , , , ,38,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,4, , , , , , , , ,47,2
1,1,1,1,1,2,1,5, , , , , , , , , , , , , , , , , , , , , , , , ,53,2
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,21,1
1,1,1,1,1,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , ,35,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,6, , , , , , , , ,27,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,6,35,2
1,1,1,1,1,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , ,47,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,41,1
 , , , , , , , ,1,1,1,2,1,2,2,4, , , , , , , , , , , , , , , , ,31,2
1,1,1,1,1,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , ,23,2
 , , , , , , , ,1,1,1,2,1,2,5,2, , , , , , , , , , , , , , , , ,35,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,3,43,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,5, , , , , , , , ,44,2
 , , , , , , , ,1,1,1,2,1,2,3,4, , , , , , , , , , , , , , , , ,40,1
 , , , , , , , ,1,1,1,2,1,2,3,4, , , , , , , , , , , , , , , , ,32,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,5, , , , , , , , ,39,1
 , , , , , , , ,1,1,1,2,1,2,4,4, , , , , , , , , , , , , , , , ,38,2
 , , , , , , , ,1,1,1,2,1,2,2,5, , , , , , , , , , , , , , , , ,48,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,3,5,35,1
 , , , , , , , ,1,1,1,2,1,2,5,2, , , , , , , , , , , , , , , , ,34,2
1,1,1,1,1,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , ,27,1
1,1,1,1,1,2,2,6, , , , , , , , , , , , , , , , , , , , , , , , ,26,2
1,1,1,1,1,2,2,3, , , , , , , , , , , , , , , , , , , , , , , , ,45,1
 , , , , , , , ,1,1,1,2,1,2,5,2, , , , , , , , , , , , , , , , ,55,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,5,26,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,4,24,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,1,5, , , , , , , , ,39,1
1,1,1,1,1,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , ,29,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,4,25,1
 , , , , , , , ,1,1,1,2,1,2,4,3, , , , , , , , , , , , , , , , ,52,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,3,35,2
1,1,1,1,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,32,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,5,5, , , , , , , , ,43,1
 , , , , , , , ,1,1,1,2,1,2,1,4, , , , , , , , , , , , , , , , ,61,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,3,26,2
 , , , , , , , ,1,1,1,2,1,2,3,4, , , , , , , , , , , , , , , , ,38,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,4,30,1
 , , , , , , , ,1,1,1,2,1,2,6,2, , , , , , , , , , , , , , , , ,23,2
1,1,1,1,1,2,4,6, , , , , , , , , , , , , , , , , , , , , , , , ,47,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,1,6, , , , , , , , ,26,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,6,39,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,30,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,5, , , , , , , , ,23,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,2, , , , , , , , ,29,1
 , , , , , , , ,1,1,1,2,1,2,2,5, , , , , , , , , , , , , , , , ,52,2
 , , , , , , , ,1,1,1,2,1,2,2,2, , , , , , , , , , , , , , , , ,46,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,3,23,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,5, , , , , , , , ,22,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,41,2
